Track name,Artist name,Album,Playlist name,Type,ISRC
Alwarpetyai Aaluda,Kamal Haasan,Vasool Raja MBBS (Original Motion Picture Soundtrack),folk,Playlist,INA221000431
Nenjai Kasakki,Yuvan Shankar Raja,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),folk,Playlist,INS171100495
Sarakku Vachiruken,Shankar Mahadevan,Shajahaan,folk,Playlist,INS280100377
Thanni Karuthirichi,Achu,Yennai Theriyuma (Original Motion Picture Soundtrack),folk,Playlist,INS170816264
Theradi Veethiyl,Manikka Vinayagam,Run,folk,Playlist,GBSGZ0200071
Vaadi Vaadi Naattu Katta,Vidyasagar,Alli Thantha Vaanam (Original Motion Picture Soundtrack),folk,Playlist,INS2Y1700266
Vaadiamma,Udit Narayan,Thirumalai (Original Motion Picture Soundtrack),folk,Playlist,INN130300062
Vachikka vachikka,KK,M.Kumaran Son of Mahalakshmi (Original Motion Picture Soundtrack),folk,Playlist,INV341102313
Appadi Podu,Vidyasagar,Ghilli,folk,Playlist,GBSGZ0400005
"Vasantha Mullai (From ""Pokkiri"")",Rahul Nambiar,Hits of Ilayathalapathy Vijay,folk,Playlist,INF040700851
ValamenuKkum,Gana Ulaganathan,Chithiram Pesuthadi (Original Motion Picture Soundtrack),folk,Playlist,INN130600200
O Podu 1,Anuradha Sriram,Gemini,folk,Playlist,INS390200038
Sathikadi,Sangeetha Mahadevan,Sukran,folk,Playlist,GBSGZ0500059
"Inthadi (From ""Dhol"")",Tippu,Tippu Hits - Playback Singer,folk,Playlist,INF040200461
"Yey Aatha (""From MalaiKkottai"" )",Tippu,Hits of Anuradha Sriram,folk,Playlist,INS280700774
"Rangu Rangamma (From ""Bheema"")",Vijay Yesudas,Vijay Jesudas and Karthik Hits,folk,Playlist,INF040700840
Rangola,Shankar Mahadevan,Ghajini (Original Motion Picture Soundtrack),folk,Playlist,INM300500157
Silambattam,Yuvan Shankar Raja,Silambattam (Original Motion Picture Soundtrack),folk,Playlist,INS171100408
"Kumbeda Pona Thaivam (From "" Thiruppatchi"" )",Shankar Mahadevan,Hits of Shankar Mahadevan,folk,Playlist,INS280400566
Kathadikkuthu Kathadikkuthu,Deva,Ninaivirukkum Varai (Original Motion Picture Soundtrack),folk,Playlist,INS2Y1700320
Thee Pidikka,Anushka Manchanda,Arinthum Ariyamalum (Original Motion Picture Soundtrack),folk,Playlist,INM300500151
"Aruva Meesai (From ""Dhol"")",Manikka Vinayagam,Manikkavinayagam - Playback Singer,folk,Playlist,INF040200464
Odi Odi Vilayada,D. Imman,Masilamani (Original Motion Picture Soundtrack),folk,Playlist,INS170900236
"Vaadi Machiniye (From ""Parthipan Kanavu"")",Siva Chidambaram,Best of Malathi,folk,Playlist,INF040300508
"Ithanundu (From ""Dhol"")",Udit Narayan,Singer Special Udit Narayan,folk,Playlist,INF040200459
Pottu Thakku,Srikanth Deva,Kuthu,folk,Playlist,IND291600793
En Chella Peru Apple,Mani Sharma,Pokkiri,folk,Playlist,GBSGZ0600013
Vaa Chellam,Mani Sharma,Thoranai (Original Motion Picture Soundtrack),folk,Playlist,INS171100430
Annakili,Jassie Gift,4 Students (Original Motion Picture Soundtrack),folk,Playlist,INN130400104
Karuppu Perazhaga,Sichith,Kanchana,folk,Playlist,INS391100215
Mozha Mozha,KK,Kuruvi,folk,Playlist,INS390800191
"Kokkorakko (From ""Gilli"")",Udit Narayan,Singer Special Udit Narayan,folk,Playlist,INF040400570
Ayyo Ayyo,Srikanth Deva,M. Kumaran Son Of Mahalakshmi,folk,Playlist,IND291600750
"Yen Chellaperu Apple (From ""Pokkiri"")",A. V. Ramanan,Playback Singer Special - Mirchi Suchitra,folk,Playlist,INF040700854
"Lealakku Lealakku (From ""Aathi"")",KK,Sweet Voice of K.K,folk,Playlist,INF040500719
Karigalan,Vijay Antony,Vettaikaaran (Original Motion Picture Soundtrack),folk,Playlist,INS171100350
"Olli Olli (From ""Aathi"")",Karthik,Play Back Singer Karthik Special,folk,Playlist,INF040500718
Pia.. Pia..,Vijay Antony,Ninaithale Inikkum (Original Motion Picture Soundtrack),folk,Playlist,INS171100531
Aadunga Da,Sundar C. Babu,Naadodigal (Original Motion Picture Soundtrack),folk,Playlist,INS170900214
Kathalikkum,KK,Chellamay,folk,Playlist,INS390400015
"Maramkothiye (From ""Ah…Aah"")",Shankar Mahadevan,Hits of Shankar Mahadevan,folk,Playlist,INF040500700
"Anbe Aaruyire (From ""Ah…Aah"")",A.R. Rahman,Hits of A.R.Rahman and Harris Jayaraj,folk,Playlist,INF040500695
Kodu Poatta,A.R. Rahman,Raavanan (Original Motion Picture Soundtrack),folk,Playlist,INS171000157
Porkkalam - Tamil Rap,G. V. Prakash,Aadukalam (Original Motion Picture Soundtrack),folk,Playlist,INS171000320
Kadal Raasa Naan,A.R. Rahman,Maryan (Original Motion Picture Soundtrack),folk,Playlist,INS171300303
Ennuyire,Srinivas,Uyire (Original Motion Picture Soundtrack),folk,Playlist,INN139800574
Irumbile Oru Idhaiyam,A.R. Rahman,Enthiran (Original Motion Picture Soundtrack),folk,Playlist,INT201000135
Puthiya Manidha,A.R. Rahman,Enthiran (Original Motion Picture Soundtrack),folk,Playlist,INT201000133
Kadhal Anukkal,A.R. Rahman,Enthiran (Original Motion Picture Soundtrack),folk,Playlist,INT201000134
Yeno Yeno Panithuli,Harris Jayaraj,Aadhavan (Original Motion Picture Soundtrack),folk,Playlist,INS171100647
Kacheri Kacheri,Mukesh,Kacheri Aarambam,folk,Playlist,INS280900815
Dheemthanakka Thillana,Devi Sri Prasad,Villu,folk,Playlist,GBSGZ0800248
Daddy Mummy,Devi Sri Prasad,Villu,folk,Playlist,GBSGZ0800244
Ammadi Aathadi,Silambarasan TR,Vallavan (Original Motion Picture Soundtrack),folk,Playlist,INA221000694
Soda Bottle,Devi Sri Prasad,Aaru,folk,Playlist,GBSGZ0500012
Kutti Pisase,G. V. Prakash,Kaalai (Original Motion Picture Soundtrack),folk,Playlist,INS171100636
Annanoda Paatu,KK,Chandramukhi,folk,Playlist,INS390500023
Othakallu Othakallu,S. S Karunaas,Ambasamuthiram Ambani (Original Motion Picture Soundtrack),folk,Playlist,INS171100667
Nandooruthu,C. Sathya,Nedunchalai (Original Motion Picture Soundtrack),folk,Playlist,INT201300479
Vaadi Vaadi,Vijay,Sachien,folk,Playlist,INS390500113
Hey Rosu Rosu,Mani Sharma,Padikkathavan (Original Motion Picture Soundtrack),folk,Playlist,INS171100437
